text,emotion
호텔 직원이 너무 친절했어요.,positive
객실이 깨끗하고 쾌적했어요.,positive
조식이 다양하고 맛있었어요.,positive
체크인 과정이 빠르고 편했어요.,positive
뷰가 정말 예뻐서 기분이 좋았어요.,positive
방음이 잘 돼서 조용하게 쉴 수 있었어요.,positive
침대가 푹신해서 푹 잘 잤어요.,positive
시설이 깔끔하고 관리가 잘 되어 있었어요.,positive
직원분들이 항상 웃으며 인사해줘서 좋았어요.,positive
주변 교통이 편리하고 위치가 좋아요.,positive
방이 너무 좁고 답답했어요.,negative
화장실에 곰팡이 냄새가 났어요.,negative
체크인 대기 시간이 너무 길었어요.,negative
에어컨이 고장 나서 더웠어요.,negative
직원이 불친절해서 기분이 상했어요.,negative
사진과 실제 방이 너무 달라서 실망했어요.,negative
침대 시트가 깨끗하지 않았어요.,negative
조식이 식어서 나왔어요.,negative
방음이 안 되어 시끄러웠어요.,negative
전체적으로 평범했어요.,neutral
수건이 깨끗하고 푹신했어요.,positive
체크아웃이 간편하고 빨랐어요.,positive
룸서비스가 신속하고 정확했어요.,positive
욕실 어메니티 품질이 좋았어요.,positive
조명이 아늑하고 분위기가 좋았어요.,positive
미니바 구성이 알차고 만족스러웠어요.,positive
발렛 파킹 서비스가 편리했어요.,positive
객실 온도 조절이 잘 됐어요.,positive
수영장 시설이 깨끗하고 좋았어요.,positive
컨시어지가 친절하게 안내해줬어요.,positive
방에서 와이파이가 잘 안 터졌어요.,negative
샤워기 수압이 너무 약했어요.,negative
욕조에 물때가 있었어요.,negative
엘리베이터 대기 시간이 너무 길었어요.,negative
주차 공간이 부족해서 불편했어요.,negative
베개가 너무 높아서 불편했어요.,negative
냉장고에서 소음이 심했어요.,negative
커튼이 빛을 제대로 차단하지 못했어요.,negative
헤어드라이어가 고장 나 있었어요.,negative
객실 청소가 늦게 이루어졌어요.,negative
가격 대비 적당한 수준이었어요.,neutral
특별히 나쁘지도 좋지도 않았어요.,neutral
기대했던 만큼은 아니었지만 괜찮았어요.,neutral
평범한 비즈니스 호텔 수준이에요.,neutral
무난하게 하루 묵기엔 적당했어요.,neutral
위치는 좋은데 시설은 보통이에요.,neutral
가격을 생각하면 이 정도면 괜찮아요.,neutral
다음에 다시 올지는 모르겠어요.,neutral
체크인은 빨랐는데 객실은 보통이었어요.,neutral
추천할 만한 특별한 점은 없었어요.,neutral
